Provence-Alpes-Côte d'Azur,43.7053841,7.3270985,PRESSING WALTER,31 Boulevard du Maréchal Joffre,6310,BEAULIEU-SUR-MER,,,,,http://www.pressing-walter.fr,lundi : 09h00 - 12h00 et 15h00 - 18h00<br>mardi : 09h00 - 12h00 et 15h00 - 18h00<br>mercredi : 09h00 - 12h00 et 15h00 - 18h00<br>jeudi : 09h00 - 12h00 et 15h00 - 18h00<br>vendredi : 09h00 - 12h00 et 15h00 - 18h00,Particuliers - Professionnels,Mobile : 06 11 52 60 33  -  Mobile : 06 15 14 00 12  -  Tél-fax : 04 93 76 08 67,,Pressing - blanchisserie - Nettoyage à sec - Location de linge de haute qualité - Matelas piscines - Intérieur de voiture - Bâches extérieures - Service spécial pour villa ou bateau - Daim - cuir - fourrure - Livraison possible à domicile - Accueil chaleureux - écoute du client - Professionnalisme - Service spécial de haute qualité - Devis gratuit - Experts dans les articles de haute couture - Italien et anglais parlés,"https://maps.googleapis.com/maps/api/geocode/xml?address=31+bd+Marechal+Joffre,6310,BEAULiEU+SUR+MER%&key=AIzaSyDFRIONU_OSk4JDwLelSPm3MHEMtWx777Y",https://maps.googleapis.com/maps/api/js?key=AIzaSyCmEhv8bh-Cdr1iCJEIuAVIM_2-__0WMdw&callback=initMap
Guadeloupe,16.2534894,-61.5896826,CONCEPT L.R,Centre Commercial Destreland,97122,BAIE MAHAULT,,,,,,mardi : 08h00 - 17h00<br>mercredi : 08h00 - 17h00<br>jeudi : 08h00 - 17h00<br>vendredi : 08h00 - 17h00<br>samedi : 08h00 - 17h00,,Mobile : 06 90 51 30 21  -  Mobile : 06 90 51 30 23  -  Mobile : 06 90 91 59 19,,Lavage de canapés - de baskets - Intervention sur place - Déplacement à domicile - Devis gratuit,"https://maps.googleapis.com/maps/api/geocode/xml?address=Section+la+digue+Bld+Destrellan,97122,BAiE+MAHAULT%&key=AIzaSyDFRIONU_OSk4JDwLelSPm3MHEMtWx777Y",https://maps.googleapis.com/maps/api/js?key=AIzaSyCmEhv8bh-Cdr1iCJEIuAVIM_2-__0WMdw&callback=initMap
Grand Est,47.8766473,7.2104180,LAVAPRO,10A Rue de la Fonderie,68500,WUENHEIM,,,,,www.lavapro.fr,,, 03 89 76 71 22  -  Mobile : 06 80 17 92 37  -  Fax : 03 89 76 71 26,,intervention rapide sous 24h - maintenance - réparation - service après-vente - devis personnalisé,"https://maps.googleapis.com/maps/api/geocode/xml?address=10+A+r+Fonderie,68500,WUENHEiM%&key=AIzaSyDFRIONU_OSk4JDwLelSPm3MHEMtWx777Y",https://maps.googleapis.com/maps/api/js?key=AIzaSyCmEhv8bh-Cdr1iCJEIuAVIM_2-__0WMdw&callback=initMap
Île-de-France,48.8587862,2.3729764,EXPRESS'ING SAS,27 Rue du Chemin Vert,75011,PARIS,,,,,www.express-ing.fr,lundi : 08h00 - 21h00<br>mardi : 08h00 - 21h00<br>mercredi : 08h00 - 21h00<br>jeudi : 08h00 - 21h00<br>vendredi : 08h00 - 21h00<br>samedi : 08h00 - 21h00<br>dimanche  08h00 - 21h00,,Siège Social   -  08 05 01 11 33  - Service & appel gratuits,,Abonnement - Aquanettoyage - Livraison - Ourlet - Ourlet de pantalon - Pressing express - Repassage de linge - Changement de talon - Repassage  - Produits -  Semelle - Semelles en cuir - Semelles en caoutchouc  - Type de vêtements -  Chemise - Châle,"https://maps.googleapis.com/maps/api/geocode/xml?address=27+r+Chemin+Vert,75011,PARiS%&key=AIzaSyDFRIONU_OSk4JDwLelSPm3MHEMtWx777Y",https://maps.googleapis.com/maps/api/js?key=AIzaSyCmEhv8bh-Cdr1iCJEIuAVIM_2-__0WMdw&callback=initMap
Occitanie,43.6115624,3.8061095,PRESSING ECOLOGIQUE BALÉO,Route Saint-Georges d'Orques,34990,JUVIGNAC,,,,,http://www.baleo-pressing-juvignac.fr,lundi : 09h30 - 12h30 et 14h00 - 19h00<br>mardi : 09h30 - 12h30 et 14h00 - 19h00<br>mercredi : 09h30 - 12h30 et 14h00 - 19h00<br>jeudi : 09h30 - 12h30 et 14h00 - 19h00<br>vendredi : 09h30 - 19h30<br>samedi : 09h30 - 19h30,Particuliers - Professionnels - Entreprises - Hôtels,C Cial les portes du Soleil-Entrée 3   09 67 44 36 80,,Pressing écologique - Nettoyage de linge et vêtements - Contrats d'entretien,"https://maps.googleapis.com/maps/api/geocode/xml?address=rte+Saint+Georges+d'Orques,34990,JUViGNAC%&key=AIzaSyDFRIONU_OSk4JDwLelSPm3MHEMtWx777Y",https://maps.googleapis.com/maps/api/js?key=AIzaSyCmEhv8bh-Cdr1iCJEIuAVIM_2-__0WMdw&callback=initMap
Occitanie,1.100701,43.021801,BLANCHISSERIE PRESSING COUSERANS,zi du Couserans,9190,LORP SENTARAILLE,,,,,,,,Mobile : 06 81 37 76 22  -  Tél-fax : 05 34 14 08 98,,,"https://maps.googleapis.com/maps/api/geocode/xml?address=zi+du+Couserans,9190,LORP+SENTARAiLLE%&key=AIzaSyDFRIONU_OSk4JDwLelSPm3MHEMtWx777Y",https://maps.googleapis.com/maps/api/js?key=AIzaSyCmEhv8bh-Cdr1iCJEIuAVIM_2-__0WMdw&callback=initMap
Provence-Alpes-Côte d'Azur,43.1791024,5.6057731,ECO PRESSING,466 Avenue du Président J F Kennedy,13600,LA CIOTAT,,,,,,lundi : 09h00 - 19h00<br>mardi : 09h00 - 19h00<br>mercredi : 09h00 - 19h00<br>jeudi : 09h00 - 19h00<br>vendredi : 09h00 - 19h00<br>samedi : 10h00 - 19h00,Particuliers - Professionnels,Mobile : 06 19 79 60 25  -  Mobile : 06 18 89 20 21,,Nettoyage écologique - à sec - Respect des fibres - Blanchisserie textile - Conseils personnalisés,"https://maps.googleapis.com/maps/api/geocode/xml?address=466+av+President+Kennedy,13600,CiOTAT+(LA)%&key=AIzaSyDFRIONU_OSk4JDwLelSPm3MHEMtWx777Y",https://maps.googleapis.com/maps/api/js?key=AIzaSyCmEhv8bh-Cdr1iCJEIuAVIM_2-__0WMdw&callback=initMap
Bretagne,48.0893022,-1.6213117,TYKAZ LE PRESSING CONNECTÉ,43 Avenue André Bonnin,35135,CHANTEPIE,,,,,www.tykaz.fr,,,Kiosque chez La Cave St Grégoire   02 56 51 80 00,,Blanchisserie - Repassage à la main - Nettoyage à sec écologique - Retouches - Dépôt de linge - Commande de prestation en ligne - Paiement sécurisé en ligne - Suivi du vêtement - Accès aux personnes à mobilité réduite,"https://maps.googleapis.com/maps/api/geocode/xml?address=43+av+Andre+Bonnin,35135,CHANTEPiE%&key=AIzaSyDFRIONU_OSk4JDwLelSPm3MHEMtWx777Y",https://maps.googleapis.com/maps/api/js?key=AIzaSyCmEhv8bh-Cdr1iCJEIuAVIM_2-__0WMdw&callback=initMap
Île-de-France,48.7373948,2.3268842,WISSOUS PRESSING,5 Chemin de la Vallée,91320,WISSOUS,,,,,,mardi : 08h30 - 12h30 et 15h00 - 19h30<br>mercredi : 08h30 - 12h30 et 15h00 - 19h30<br>jeudi : 08h30 - 12h30 et 15h00 - 19h30<br>vendredi : 08h30 - 12h30 et 15h00 - 19h30<br>samedi : 08h30 - 12h30 et 15h00 - 19h30<br>dimanche  09h15 - 12h30,,Toubal Seghir Redhouane  Tél-fax : 01 69 20 37 36,,,"https://maps.googleapis.com/maps/api/geocode/xml?address=5+chem+Vallee,91320,WiSSOUS%&key=AIzaSyDFRIONU_OSk4JDwLelSPm3MHEMtWx777Y",https://maps.googleapis.com/maps/api/js?key=AIzaSyCmEhv8bh-Cdr1iCJEIuAVIM_2-__0WMdw&callback=initMap
Normandie,49.2025540,-0.3792860,PRESSING DU MEMORIAL,13 Rue des Boutiques,14000,CAEN,,,,,,mardi : 08h30 - 12h15 et 15h00 - 19h00<br>mercredi : 08h30 - 12h15 et 15h00 - 19h00<br>jeudi : 08h30 - 12h15 et 15h00 - 19h00<br>vendredi : 08h30 - 12h15 et 15h00 - 19h00<br>samedi : 09h00 - 12h15 et 15h00 - 17h30,,Temperault Christian Guy Arsène   02 31 44 21 85,,,"https://maps.googleapis.com/maps/api/geocode/xml?address=13+r+Boutiques,14000,CAEN%&key=AIzaSyDFRIONU_OSk4JDwLelSPm3MHEMtWx777Y",https://maps.googleapis.com/maps/api/js?key=AIzaSyCmEhv8bh-Cdr1iCJEIuAVIM_2-__0WMdw&callback=initMap
Nouvelle-Aquitaine,44.8400240,-0.6034878,PRESSING ECLAIR,75 Avenue de la République,33200,BORDEAUX,,,,,,lundi : 08h00 - 12h30 et 14h00 - 19h00<br>mardi : 08h00 - 12h30 et 14h00 - 19h00<br>mercredi : 08h00 - 12h30 et 14h00 - 19h00<br>jeudi : 08h00 - 12h30 et 14h00 - 19h00<br>vendredi : 08h00 - 12h30 et 14h00 - 19h00<br>samedi : 09h00 - 12h30,,Chanceaulme De Sainte Frédéric   05 56 02 51 62,,,"https://maps.googleapis.com/maps/api/geocode/xml?address=75+av+Republique,33200,BORDEAUX%&key=AIzaSyDFRIONU_OSk4JDwLelSPm3MHEMtWx777Y",https://maps.googleapis.com/maps/api/js?key=AIzaSyCmEhv8bh-Cdr1iCJEIuAVIM_2-__0WMdw&callback=initMap
Bourgogne Franche-Comté,46.9915943,3.1603513,ATELIER DU XVIIIEME,23 Rue Jean Desveaux,58000,NEVERS,,,,,,mardi : 09h00 - 12h00 et 14h00 - 19h00<br>mercredi : 09h00 - 12h00 et 14h00 - 19h00<br>jeudi : 09h00 - 12h00 et 14h00 - 19h00<br>vendredi : 09h00 - 12h00 et 14h00 - 19h00<br>samedi : 09h00 - 12h00 et 14h00 - 19h00,,Timoleonthos François  Tél-fax : 03 86 57 08 36,,Dégraissage de vêtement  - Nettoyage robe de mariée  - Nettoyage à sec  - Pressing artisanal,"https://maps.googleapis.com/maps/api/geocode/xml?address=23+r+Jean+Desveaux,58000,NEVERS%&key=AIzaSyDFRIONU_OSk4JDwLelSPm3MHEMtWx777Y",https://maps.googleapis.com/maps/api/js?key=AIzaSyCmEhv8bh-Cdr1iCJEIuAVIM_2-__0WMdw&callback=initMap
Hauts-de-France,49.3819747,2.4002659,PRESSING CLERMONTOIS,Rue Gérard de Nerval,60600,CLERMONT,,11.50,,,,mardi : 09h00 - 12h00 et 14h30 - 19h00<br>mercredi : 09h00 - 12h00 et 14h30 - 19h00<br>jeudi : 09h00 - 12h00 et 14h30 - 19h00<br>vendredi : 09h00 - 12h00 et 14h30 - 19h00<br>samedi : 09h00 - 12h00 et 14h30 - 18h00,,Pelegrinelli Corinne  Tél-fax : 03 44 78 01 64,,Repassage - Nettoyage de tapis - Nettoyage de rideaux - Nettoyage du daim - Nettoyage du cuir - Retouches - Couture,"https://maps.googleapis.com/maps/api/geocode/xml?address=r+Gerard+de+Nerval,60600,CLERMONT%&key=AIzaSyDFRIONU_OSk4JDwLelSPm3MHEMtWx777Y",https://maps.googleapis.com/maps/api/js?key=AIzaSyCmEhv8bh-Cdr1iCJEIuAVIM_2-__0WMdw&callback=initMap
Hauts-de-France,49.2537294,2.4278473,LE PRESSING DU THERAIN,17 Rue André Ginisti,60160,MONTATAIRE,13,7,3,,,lundi : 09h00 - 19h30<br>mardi : 09h00 - 19h30<br>mercredi : 09h00 - 19h30<br>jeudi : 09h00 - 19h30<br>vendredi : 09h00 - 19h30<br>samedi : 09h00 - 19h30,,Auriault Nathalie Marguerite   03 44 56 45 99,,Nettoyage écologique - Repassage - Teinturerie - Nettoyage de tapis - Nettoyage de rideaux - Nettoyage du daim - Nettoyage du cuir,"https://maps.googleapis.com/maps/api/geocode/xml?address=17+r+Andre+Ginisti,60160,MONTATAiRE%&key=AIzaSyDFRIONU_OSk4JDwLelSPm3MHEMtWx777Y",https://maps.googleapis.com/maps/api/js?key=AIzaSyCmEhv8bh-Cdr1iCJEIuAVIM_2-__0WMdw&callback=initMap
